Customer ID,Address Line 1,Address Line 2,City,State,Postal Code,Country
,400 Clayton Turnpike Apt. 428,Apt. 417,New Anthonyfort,Maryland,93357,34245
6929,,Apt. 113,Port Erik,Indiana,99083,Algeria
apa,828 Laura Crossing Apt. 672,Suite 194,North Adamborough,Delaware,,Cocos (Keeling) Islands
7408,,Apt. 414,Wrightside,2345,58867,Andorra
6176,450 Villegas Way,Suite 690,Dixonview,Colorado,11753,Morocco
,83332 William Fords Apt. 834,Apt. 118,Robinsonmouth,Nebraska,85459,Northern Mariana Islands
7324,1166 Anne Drive,,Allenchester,West Virginia,,
iya,33008 Rebecca Dale,Suite 073,,California,31402,Pitcairn Islands
4481,,Suite 007,West Breanna,Maryland,68754,British Indian Ocean Territory (Chagos Archipelago)
4926,82531 Thomas Street Apt. 991,,East Alicia,Oklahoma,,Djibouti
,9144 Roberson Circles,Suite 627,Howardville,New Jersey,39769,Central African Republic
4870,7242 Pearson Trace Apt. 622,Apt. 417,,New Hampshire,78152,Botswana
8375,,Apt. 517,1231244,Utah,,Jersey
5068,887 Brenda Bypass Apt. 385,,Port Michael,Michigan,61043,
,6870 Robin Well Suite 267,Apt. 322,,California,,French Guiana
6234,0735 Cynthia Groves,Apt. 139,New Stephanie,Texas,74042,Belarus
1207,78475 Owen Mill Suite 462,,North Matthew,Indiana,98060,Guernsey
5360,121 Day Tunnel,Apt. 763,Kellyport,Tennessee,,French Guiana
dsdf,9594 Aguirre Greens,Suite 221,12343,Arizona,25118,
9234,2603 Amy Mall,Apt. 655,North Jason,Maryland,89808,Gabon
