Customer Pulsa ID,Phone Number Isi Pulsa,Date,Amount
3102,,2023-01-01,37576
1334,623284728221,2023-01-02,
,624670916237,2023-01-03,68719
5129,623814446967,2023-01-04,6759
2759,,2023-01-05,14182
1461,623135620784,2023-01-06,
,620180319005,2023-01-07,52276
4016,621639046263,2023-01-08,54404
4212,623158156183,2023-01-09,30080
4199,624990386575,2023-01-10,
,620119413659,2023-01-11,80390
1338,629852251958,2023-01-12,55920
8875,,2023-01-13,14244
8794,629497302500,2023-01-14,31991
ini,620927270378,2023-01-15,
6182,629568710598,2023-01-16,68648
5203,623364899461,2023-01-17,54782
2496,apa,2023-01-18,24126
8256,623280426693,2023-01-19,apa
6558,620277635422,2023-01-20,81821
