Customer ID,Customer Name,Customer Email,Customer Phone Number,Date of Birth,Gender
1737,Alicia Crawford,michael05@hotmail.com,81712345678,1986-07-22,Male
1312,Diana Hood,gduffy@yahoo.com,,1993-06-24,Female
,Steven Andrade,robertlewis@burns.com,83943217654,1957-11-24,Female
3484,,william25@gmail.com,,2000-07-11,Female
apa,Gary Bryan,clarkmichelle@gmail.com,85187659876,1949-07-01,Male
9871,James Wolfe,masonanthony@martin-lawson.com,,1966-02-22,Male
1109,Erica Richardson,christian27@yahoo.com,87398763210,1944-07-05,Female
7106,,kellybrown@hotmail.com,88443217654,1949-03-06,Male
3647,Barbara Campbell,dawsonjustin@gmail.com,89565432109,1987-04-25,Female
,Charles Buckley,carol30@yahoo.com,,1966-04-29,Male
2313,Sherri Edwards,sydney03@yahoo.com,82912345678,1984-02-13,Male
halo,Brian Kaufman,blairanthony@hotmail.com,83043217654,1972-05-14,Female
5652,,bfuentes@gmail.com,,2001-10-01,Female
1717,Russell Winters,pgay@garcia-williams.com,85287659876,1944-08-09,Female
,Heather Coleman,kevinwilliams@williams-brown.com,86312345678,2000-04-08,Female
5719,Charles Hunt,xpruitt@patterson.info,,2001-03-10,Female
9539,,rebeccasimpson@gill-vincent.org,88543217654,1959-07-01,Female
,Benjamin Johnson,cdickson@lewis-aguilar.com,89665432109,1968-01-13,Female
9367,Kirsten Wood,vwalsh@martinez.biz,81987659876,1977-07-06,Female
2778,Donna Rios,sdaugherty@yahoo.com,,1972-05-29,Male
